ID Producto,Producto,,Precio Compra,,Precio Venta
1,AURICULAR C/MICROFONO CNW21154,,"$4,577",,"$9,155"
2,AURICULAR E6S BT PRO,,"$4,820",,"$9,639"
3,AURICULAR M90PRO ,,"$5,865",,"$11,730"
4,AURICULAR VINCHA P9PRO/P9PLUS,,"$7,637",,"$15,275"
5,AURICULAR- MA6S,,"$3,978",,"$7,956"
6,AURICULARES GAMER- X15,,"$5,942",,"$11,883"
7,MOPA CENTRIFUGA 360 SPRINT,,"$13,553",,"$27,107"
8,ASPIRADORA 3EN1 AS228GZ000011,,"$6,375",,"$12,750"
9,BALANZA DIGITAL DE COCINA 10KG ,,"$4,016",,"$8,033"
10,JARRA ELECT.CORTE MATE-CTM-OSR9145,,"$15,262",,"$30,524"
11,MOPA CENTRIFUGA BELITA,,"$14,714",,"$29,427"
12,KIT MARCADORES x 6pcs-MD208/205,,"$2,091",,"$4,182"
13,SET GOMA X30pcs- ED-50,,"$1,619",,"$3,239"
14,TENDER VERTICAL BELITA,,"$23,843",,"$47,685"
15,CORTADOR MANDOLINA VERDURA RAKA1/R13 ,,"$11,552",,"$23,103"
16,"ARO SELFIE 12"" RGB MJ30KA",,"$16,728",,"$33,456"
17,CABLE TIPO C W2101A/W2101,,"$1,492",,"$2,984"
18,"PIZARRA MAGICA9"" ANIMALITOS-WTM19-21 ",,"$4,093",,"$8,186"
19,JOYSTICK JS3,,"$7,459",,"$14,918"
20,ANAFE ELECTRICO DOBLE 2000W HPS204,,"$24,098",,"$48,195"
21,VELADOR ESTRELLA 7969KA,,"$5,381",,"$10,761"
22,CARGADOR 3.0 MICRO USB V8 h2204 2205,,"$1,594",,"$3,188"
23,ESPEJO LED PLEGABLE- XJ988,,"$7,229",,"$14,459"
24,RAQUETA MATA MOSQUITO-mkt-4460,,"$7,227",,"$14,453"
25,CANASTA BOLSO MATERO,,"$6,464",,"$12,929"
26,PLANCHITA DE PELO-OSR196//EL57,,"$2,244",,"$4,488"
27,PLANCHITA DE PELO- GW-7029,,"$9,614",,"$19,227"
28,SECADOR Y PLANCHITA- OM2433-VT725,,"$22,491",,"$44,982"
29,SECADOR DE PELO OM SY2436,,"$11,947",,"$23,894"
30,SECADOR DE PELO OSR OR9046,,"$13,974",,"$27,948"
